name,slug,industry,sector,hq_city,hq_state,size,score,certified_date,bcorp_profile_url
Adelsheim Vineyard,adelsheim-vineyard,Agricultural Processing,Agriculture/Growers,Newberg,Oregon,10-49,90.9,2025-10-20,https://www.bcorporation.net/en-us/find-a-b-corp/company/adelsheim-vineyard/
Amasar,amasar-llc,Agricultural Processing,Agriculture/Growers,Jayuya,Puerto Rico,1-9,83.2,2025-06-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/amasar-llc/
Berkshire Cider Project,berkshire-cider-project,Agricultural Processing,Manufacturing,North Adams,Massachusetts,1-9,85.8,2023-04-05,https://www.bcorporation.net/en-us/find-a-b-corp/company/berkshire-cider-project/
Bonterra Organic Estates,fetzer-vineyards,Agricultural Processing,Agriculture/Growers,Hopland,California,50-249,117.3,2015-05-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/fetzer-vineyards/
CARTOGRAPH WINES,cartograph-wines,Agricultural Processing,Agriculture/Growers,Healdsburg,California,1-9,126.2,2020-06-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/cartograph-wines/
"Charlotte's Web, Inc",charlottes-web-holdings-inc,Agricultural Processing,Agriculture/Growers,,,50-249,96.5,2020-08-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/charlottes-web-holdings-inc/
Chehalem Winery,chehalem-winery,Agricultural Processing,Agriculture/Growers,Sherwood,Oregon,1-9,82,2018-07-11,https://www.bcorporation.net/en-us/find-a-b-corp/company/chehalem-winery/
Crosby Hops,crosby-hop-farm-llc,Agricultural Processing,Agriculture/Growers,Woodburn,Oregon,50-249,84.4,2016-04-04,https://www.bcorporation.net/en-us/find-a-b-corp/company/crosby-hop-farm-llc/
Elk Cove Vineyards,elk-cove-vineyards,Agricultural Processing,Agriculture/Growers,Gaston,Oregon,10-49,90.4,2026-05-20,https://www.bcorporation.net/en-us/find-a-b-corp/company/elk-cove-vineyards/
Et Fille Wines,et-fille-wines,Agricultural Processing,Agriculture/Growers,Sherwood,Oregon,1-9,101.1,2022-03-09,https://www.bcorporation.net/en-us/find-a-b-corp/company/et-fille-wines/
"Fungi Perfecti, LLC",fungi-perfecti-llc,Agricultural Processing,Manufacturing,Shelton,Washington,50-249,83.5,2023-06-12,https://www.bcorporation.net/en-us/find-a-b-corp/company/fungi-perfecti-llc/
"GoodSam PBC, dba GoodSam Foods",good-sam-pbc-dba-good-sam-foods,Agricultural Processing,Agriculture/Growers,Old Greenwich,Connecticut,10-49,143.9,2022-10-10,https://www.bcorporation.net/en-us/find-a-b-corp/company/good-sam-pbc-dba-good-sam-foods/
"Harmoni, Inc. dba Uncle Matt's Organic",harmoni-inc-dba-uncle-matts-organic,Agricultural Processing,Agriculture/Growers,Clermont,Florida,50-249,94.1,2022-06-20,https://www.bcorporation.net/en-us/find-a-b-corp/company/harmoni-inc-dba-uncle-matts-organic/
Higher Grounds Trading Company,higher-grounds-trading-company,Agricultural Processing,Agriculture/Growers,Traverse City,Michigan,10-49,84,2016-01-28,https://www.bcorporation.net/en-us/find-a-b-corp/company/higher-grounds-trading-company/
Joe Bean Coffee LLC,joe-bean-coffee-l-l-c,Agricultural Processing,Agriculture/Growers,Rochester,New York,1-9,88.1,2022-08-22,https://www.bcorporation.net/en-us/find-a-b-corp/company/joe-bean-coffee-l-l-c/
Just Coffee Cooperative,just-coffee-cooperative,Agricultural Processing,Agriculture/Growers,Madison,Wisconsin,10-49,102.4,2017-09-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/just-coffee-cooperative/
MIKUNA,mikuna,Agricultural Processing,Agriculture/Growers,Santa Barbara,California,1-9,90.1,2020-12-13,https://www.bcorporation.net/en-us/find-a-b-corp/company/mikuna/
